Va_rms_pre,Va_rms_flt,Vb_rms_flt,Vc_rms_flt,Va_sag,Vb_sag,Vc_sag,Ia_rms_flt,Ib_rms_flt,Ic_rms_flt,Ia_peak,Ib_peak,Ic_peak,I_max_peak,Va_H2,Va_H3,Va_H5,Ia_H2,Ia_H3,Ib_H2,Ib_H3,Va_thd,Ia_thd,V0_ratio,V2_ratio,V_imbalance,I_imbalance,Ib_Ia_ratio,Ic_Ia_ratio,fault_bus,fault_type,label,Rf_pu
1.03243,0.05193,0.05146,0.05178,0.94971,0.95014,0.94986,0.79138,0.79203,0.79154,1.12838,1.12992,1.12997,1.12997,0.00458,0.00273,0.01658,0.00058,0.00045,0.00047,0.00041,0.02388,0.00158,0.0,0.0,0.00501,0.00049,1.00083,1.00021,1,Three_Phase,1,0.026367
1.03282,0.05156,0.05214,0.05222,0.95007,0.94952,0.94943,0.79192,0.79098,0.79205,1.12757,1.12705,1.12629,1.12757,0.01089,0.01205,0.00659,0.00045,0.00037,0.00037,0.00051,0.02516,0.00155,0.0,0.0,0.00792,0.00085,0.99881,1.00016,1,Three_Phase,1,0.029764
1.03314,0.0523,0.05214,0.05159,0.94938,0.94953,0.95005,0.7912,0.7913,0.79159,1.12887,1.12752,1.12701,1.12887,0.00885,0.01381,0.00947,6e-05,0.0006,0.0004,0.00054,0.02717,0.00137,0.0,0.0,0.00802,0.00029,1.00013,1.0005,1,Three_Phase,1,0.033598
1.03254,0.05185,0.05163,0.05159,0.94978,0.95,0.95005,0.79155,0.79119,0.79192,1.12696,1.12761,1.12839,1.12839,0.00583,0.00814,0.00887,0.00035,0.00026,0.00026,0.00055,0.03308,0.00153,0.0,0.0,0.00314,0.00046,0.99955,1.00047,1,Three_Phase,1,0.037927
1.03282,0.05206,0.05178,0.05179,0.94959,0.94988,0.94985,0.79118,0.7914,0.79097,1.12535,1.12434,1.12367,1.12535,0.00687,0.00635,0.00449,0.0008,0.00059,0.00055,0.00046,0.02223,0.00186,0.0,0.0,0.00353,0.00027,1.00028,0.99973,1,Three_Phase,1,0.042813
1.03274,0.05213,0.05178,0.05184,0.94953,0.94985,0.94979,0.79142,0.79123,0.79135,1.12728,1.1304,1.12402,1.1304,0.00793,0.00979,0.01021,0.00042,3e-05,6e-05,0.00018,0.02495,0.00099,0.0,0.0,0.00408,0.00013,0.99977,0.99991,1,Three_Phase,1,0.048329
1.0328,0.05159,0.05203,0.05212,0.95005,0.94962,0.94955,0.79147,0.79165,0.79151,1.12915,1.12814,1.12513,1.12915,0.0061,0.0038,0.00869,0.00089,0.00031,0.00045,0.00036,0.01694,0.00175,0.0,0.0,0.00617,0.00014,1.00023,1.00004,1,Three_Phase,1,0.054556
1.03286,0.05198,0.05178,0.05222,0.94968,0.94986,0.94944,0.79186,0.79165,0.79174,1.12914,1.12877,1.12844,1.12914,0.01479,0.0078,0.00966,0.00039,0.00094,0.00029,0.00018,0.03258,0.00185,0.0,0.0,0.00443,0.00014,0.99974,0.99985,1,Three_Phase,1,0.061585
1.03276,0.05203,0.05139,0.05195,0.94962,0.95021,0.9497,0.79161,0.79153,0.7919,1.12185,1.12833,1.12832,1.12833,0.00595,0.00348,0.00646,0.0001,0.00037,0.00033,0.00062,0.02611,0.00193,0.0,0.0,0.00767,0.00028,0.9999,1.00037,1,Three_Phase,1,0.069519
1.03317,0.05188,0.05258,0.05196,0.94979,0.94907,0.94967,0.79183,0.79219,0.79171,1.12373,1.12682,1.12997,1.12997,0.00421,0.00725,0.00512,0.00066,0.00044,0.00017,0.00101,0.01701,0.0021,0.0,0.0,0.00847,0.00035,1.00046,0.99986,1,Three_Phase,1,0.078476
1.03228,0.05176,0.0523,0.05142,0.94986,0.94938,0.95019,0.79153,0.79058,0.79111,1.12371,1.12406,1.12533,1.12533,0.01276,0.00788,0.01374,0.00051,0.00145,0.00029,0.00065,0.02742,0.00218,0.0,0.0,0.00914,0.00063,0.9988,0.99947,1,Three_Phase,1,0.088587
1.03259,0.05153,0.05153,0.05206,0.9501,0.95014,0.94956,0.79176,0.79148,0.79159,1.12372,1.12368,1.12421,1.12421,0.00491,0.01122,0.00698,0.00033,0.00059,0.0001,0.00069,0.03001,0.00187,0.0,0.0,0.00685,0.00019,0.99966,0.99979,1,Three_Phase,1,0.1
1.03292,0.05228,0.05197,0.05211,0.94939,0.9497,0.94955,0.79141,0.79155,0.79161,1.12459,1.12173,1.12729,1.12729,0.00515,0.00599,0.00272,7e-05,0.00046,0.00046,0.00091,0.01915,0.00136,0.0,0.0,0.00307,0.00014,1.00017,1.00025,2,Three_Phase,1,0.0
1.03314,0.05196,0.05188,0.05181,0.94971,0.94975,0.94985,0.79172,0.7918,0.79146,1.13042,1.13084,1.13011,1.13084,0.00055,0.00295,0.00715,0.00032,0.00061,0.0005,0.00045,0.0206,0.00142,0.0,0.0,0.00139,0.00025,1.0001,0.99968,2,Three_Phase,1,0.001
1.03342,0.05151,0.05303,0.05179,0.95016,0.94866,0.94987,0.79147,0.7917,0.792,1.12479,1.13263,1.12505,1.13263,0.01041,0.01503,0.01085,0.00055,0.00042,0.00084,0.00025,0.0297,0.00121,0.0,0.0,0.01772,0.00035,1.00028,1.00066,2,Three_Phase,1,0.001129
1.0325,0.05191,0.05216,0.05181,0.94972,0.94949,0.94986,0.79138,0.79186,0.79205,1.12497,1.12374,1.1303,1.1303,0.005,0.00543,0.00399,0.00089,0.00064,0.00014,0.00063,0.02328,0.00188,0.0,0.0,0.00384,0.00048,1.0006,1.00085,2,Three_Phase,1,0.001274
1.03333,0.05161,0.05111,0.05191,0.95005,0.95051,0.94974,0.79103,0.79154,0.79176,1.1239,1.12878,1.12548,1.12878,0.00496,0.00718,0.00682,0.00031,0.0005,9e-05,0.00042,0.02176,0.00132,0.0,0.0,0.00845,0.00052,1.00064,1.00091,2,Three_Phase,1,0.001438
1.0326,0.05109,0.05182,0.05189,0.95052,0.94983,0.94977,0.79201,0.79173,0.79189,1.1226,1.12636,1.13088,1.13088,0.01635,0.00543,0.01326,0.00049,0.00034,0.00069,0.00043,0.02626,0.00168,0.0,0.0,0.00991,0.00019,0.99965,0.99985,2,Three_Phase,1,0.001624
1.03304,0.05165,0.05207,0.05256,0.95,0.9496,0.94913,0.79216,0.79153,0.79188,1.12424,1.12539,1.1285,1.1285,0.01721,0.01792,0.00288,0.00043,0.00095,0.00094,9e-05,0.02974,0.00181,0.0,0.0,0.00898,0.00041,0.99921,0.99964,2,Three_Phase,1,0.001833
1.03301,0.05136,0.05162,0.05185,0.95028,0.95003,0.9498,0.79165,0.79199,0.79194,1.12796,1.12715,1.12947,1.12947,0.00337,0.01048,0.00766,0.00025,0.00053,0.00051,0.0002,0.03181,0.00213,0.0,0.0,0.00481,0.00026,1.00042,1.00037,2,Three_Phase,1,0.002069
1.03261,0.0516,0.05256,0.05162,0.95003,0.9491,0.94999,0.79138,0.79159,0.7916,1.12407,1.12272,1.12923,1.12923,0.01019,0.01152,0.00816,0.00058,0.00057,0.00111,0.00048,0.02317,0.00162,0.0,0.0,0.01226,0.00018,1.00026,1.00027,2,Three_Phase,1,0.002336
1.03288,0.0518,0.0513,0.05199,0.94985,0.95034,0.94963,0.79158,0.79157,0.7915,1.12264,1.12567,1.12544,1.12567,0.00633,0.01011,0.00884,0.00076,0.00032,0.00031,0.0006,0.02456,0.00171,0.0,0.0,0.0077,6e-05,0.99998,0.9999,2,Three_Phase,1,0.002637
1.03272,0.05195,0.05204,0.05148,0.94969,0.94963,0.95015,0.79179,0.79157,0.79121,1.12529,1.12616,1.1297,1.1297,0.00146,0.00605,0.00951,0.00074,0.00018,0.00026,0.00098,0.02325,0.0014,0.0,0.0,0.00663,0.0004,0.99972,0.99927,2,Three_Phase,1,0.002976
1.03358,0.05187,0.05188,0.05212,0.94982,0.94976,0.94953,0.7916,0.7919,0.79152,1.12243,1.12656,1.1326,1.1326,0.00485,0.0078,0.00923,0.0004,0.00064,0.00038,0.00076,0.02567,0.00175,0.0,0.0,0.00315,0.00028,1.00037,0.99989,2,Three_Phase,1,0.00336
1.03261,0.05187,0.05147,0.05215,0.94977,0.95017,0.94951,0.79217,0.79109,0.79146,1.1258,1.12281,1.12621,1.12621,0.00764,0.01296,0.00952,0.00057,0.00053,0.00058,0.00069,0.02949,0.00182,0.0,0.0,0.00696,0.00075,0.99864,0.99911,2,Three_Phase,1,0.003793
1.03274,0.05203,0.05149,0.052,0.94962,0.95012,0.94967,0.79132,0.79145,0.79139,1.12623,1.12554,1.1263,1.1263,0.00377,0.00623,0.00863,0.00097,7e-05,0.00101,0.00017,0.01515,0.00162,0.0,0.0,0.00675,8e-05,1.00016,1.00008,2,Three_Phase,1,0.004281
